数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
1,9.78711E+12,,,窥视厕所,50.18,生活.读书.新知三联书店,妹尾河童,May-19,,,,这本书里，妹尾河童将自己永无止境的好奇心移向了厕所，于是有了对49位日本名人家里厕所的采访，对东西方厕所的历史演变也略有着墨。在这里，河童又一次展现了其不同寻常的魅力，不仅让一个常常被人忽略甚至羞于谈论的话题变得生动有趣，还让那些包括学者、艺术家、文化评论家、建筑师，还有棋手、投资家、企业家、探险家等各界名流在内的人们心甘情愿地将自己生活中*隐秘的角落、他们各自对厕所的理解乃至与之有关的种种怪癖一一昭示于人。厕所在被做了这一番窥视之后，或许已不再是一个用到时才会想起的隐秘之处，它可能还会使人想到健康、饮食、环境保护，以及厕所蕴含的除了其原初功用之外的诸多可能性。,,,
0,9.78711E+12,,,窥视工作间,42,生活.读书.新知三联书店,（日）妹尾河童,Jun-16,,,,这次，河童引领我们窥视了近五十位日本名人的工作间，这些房间的主人均是日本文学、戏剧、音乐、美术、手工艺、科学、建筑、政治等不同领域的知名人士，涉及范围之广之有趣令人称奇。通过近距离、生活化的观察，读者得以细细品味丰富的别样人生，了解每个人致力的工作，思考的问题，进而窥视到 当今日本之万象 。,,,
0,9.78711E+12,,,窥视舞台,42,三联书店,妹尾河童,Nov-18,,,,　　戏剧之美是如何成就的？让我们跟随妹尾河童先生来窥视一番吧。河童早年涉足舞美设计，作品多次获奖，声名远扬，如何让读者看懂舞台对他来说自然不在话下。在这里他先从旋转舞台入手，带领我们将舞台上下内外看个究竟，布景，灯光，道具，音响，服装，无一遗漏。不仅如此，走访那些热爱舞台并为之挥洒才情的人们也是不可或缺的重要环节，不亲眼看见他们的幕后工作，又如何感受其非凡的创造力和敬业精神？河童曾以独具风格的素描画征服众多读者，这一次他奉献出来的是一幅幅精美剧照，《彼得・潘》《欲望列车》《雪国》《波西米亚人》等……梦幻一般的场景，令人叫绝的想象力，让我们对舞台的理解更加感性。看过《窥视舞台》，某一天当你走在街头再次看到戏剧海报时，或许已不再漠然，立刻买票走进剧院也说不定――殊不知这正是舞美大师河童先生写作该书的初衷。,,,
0,9.78711E+12,,,窥视印度,38,生活.读书.新知三联书店,（日）妹尾河童 著，姜淑玲 译,Jun-15,,,,加尔各答、德里、孟买、马德拉巴、迈索尔宫、耆那神庙 作者将带你走进这一神秘的邻近古国印度。除了文字叙述，作者在书中还画有多幅素描，清楚地描绘了当地的风情。推荐给想去印度暂时没条件去的人，可以解馋。 印度人信仰的宗教种类繁多。印度的宗教不像日本的那么便宜行事 婚礼在基督教会举行，年初开春到神社参拜，葬礼则采佛教仪式 在印度，人们恪遵各自的宗教信仰，谨守戒律地生活。当然，在辽阔的印度，每个地区的历史和文化也各有不同。面对这样一个国家，仅是一介过客的旅人当然无法了解全貌。问印度人有关印度的事情 即使是同一件事，也常得到各式各样的答案；所以会让人搞不清楚何为真。其实，这并不代表他们的回答不正确，每个答案都是真实的。答案的差异乃源于每个人的生活环境、所在地区，或是宗教观各不相同。,,,
1,9.78711E+12,,,窥视日本,30,生活.读书.新知三联书店,妹尾河童（日）,Aug-16,,,,,,,
4,9.78711E+12,,,窥视欧洲,33,生活.读书.新知三联书店,（日）妹尾河童,Jun-16,,,,上世纪70年代初，妹尾河童在日本文化厅资助下，独自在欧洲游历一年，足迹遍及22国，边写边画，终成此书。在《窥视欧洲》中，河童表现出其一如既往的超强好奇心 一路乘坐的火车车厢内部结构及车长制服、行驶在街头的电车、移动的邮局、所住过的旅馆房间陈设、欧洲各地民居的窗户。都令他兴味盎然。 关于这一次欧洲之行，在 河童旅行素描本 及（ 河童杂记本 中都曾有所涉及，如前者之 一投宿就开始画 及后者之 城堡赋 。而这一本《窥视欧洲》，姑且看成是前两个绘本的 未尽之言 吧。,,,
1,9.7873E+12,,,赖特,59,北京大学出版社,[美] 罗伯特・麦卡特 著,May-18,,,,《赖特》隶属关键人物丛书，该套丛书所关注的是来自艺术、哲学、文学、建筑等领域的关键人物，他们的影响早已超出了各自的专业领域堪称现代文化领袖，成为人类精神史的重要环节。 赖特是20世纪伟大的建筑学家之一，本书作为赖特的传记，不但描述评价了其生平，还深刻讨论了赖特的思想历程与其建筑作品的关系。,,,
1,9.78754E+12,,,浪漫主义的根源,55,译林出版社,以赛亚·伯林,Oct-19,,,,本书根据1965年伯林所做的“浪漫主义”梅隆讲座录音整理而成。自浪漫主义的定义始，历陈其滥觞、生长和壮大，抉发其巨大而持久的影响力，伯林借前任所未发的观念史视角，展现出浪漫主义革命作为认知方式和思想意识的无比力量。伯林的演讲结构了然，思维缜密，典故如排山倒海，排比如山洪倾泻，是豪宕的思想音乐，是天神眷顾的天才时刻。,,,
1,9.78756E+12,,,类人猿、赛博格和女人,78,河南大学,[美]唐娜哈拉维,,,,,,,,
1,9.7871E+12,,,礼物,30,商务印书馆,马塞尔·莫斯,Jan-19,,,,本书既很容易读，又很难读。同样，这一点，可能也就解释了这本书名满天下、但事实上又很少有人读懂的奇特命运。很容易读，是因为莫斯对具体事实情有独钟，而对抽象视若仇雠，其表述总是十分简单透彻，无半点斧凿之痕。要说很难读，那当然是因为本书涉及到极其多样的社会实践和异常丰富的民族志材料，读起来未免有点让人伤脑筋。人类社会原本没有市场、买卖、互赠或易物贸易，那么，到底有什么呢？有的就是礼物。,,,
1,9.78721E+12,,,礼物的流动：一个中国村庄中的互惠原则与社会网络,49,上海人民出版社,阎云翔,Feb-17,,,,天上下雨地上滑，各人摔倒各人爬。 亲戚朋友扶一把，酒换酒来茶换茶。 生育、婚礼、拜寿、丧礼；定情、求助、付酬、拍马，世界上所有的社会都逃不开礼物交换。 从每个家庭都有的“礼单”出发，一路洞察“人情”与“面子”，处于关系网络中的中国社会。 美国亚洲学会列文森奖得主、文化人类学教授阎云翔成名之作。,,,
1,9.78721E+12,,,私人生活的变革：一个中国村庄里的爱情、家庭与亲密关系（1949-1999）,49,上海人民出版社,阎云翔 著，龚小夏 译,Feb-17,,,,新中国成立后，乡村私人生活发生了哪些变化？ 爱情还是亲情，自由还是服从，个体如何在转型社会中抉择？ 美国亚洲学会中国研究列文森图书大奖获奖作品； 阅读当代中国乡村的情感与道德世界，理解私人生活背后的社会变迁。,,,
1,9.78755E+12,,,理解一张照片：约翰·伯格论摄影,59,中国美术学院出版社,"(英)伯格(Berger, John)著",Dec-14,,,,本书以时间为序，不仅全面收录了约翰·伯格最有影响力的摄影名篇，如《摄影的使用》《外观》《故事》等，也将此前未见收录的、他为展览或图册撰写的评论纳入其中，其中涉及的人物极其广泛，从摄影大师奥古斯特·桑德、亨利·卡蒂埃－布列松、尤金·史密斯，到至今仍在活跃的摄影师伊特卡·汉泽洛娃、阿拉姆·谢卜利。,,,
0,9.7871E+12,,,恋地情结（旧版）,45,商务印书馆,段义孚（著）志丞（译）刘苏（译）,May-18,,,,,,,
2,9.7871E+12,,书架2,恋地情结（新版）,69.22,商务印书馆,段义孚,Oct-19,,,,著名华裔地理学家段义孚写作于20世纪70年代的《恋地情结》这本书，以人与环境的情感纽带为主题，经由认识人类自身――人的感知、态度和价值观，而认识人与环境的关系。再经由认识环境作为生物的人、社会的人以及个体的人的文化和生活方式的空间（物质）载体，而重新认识人与环境的关系。环境的生成，是人类不断建构理想人地关系的过程。《恋地情结》开创性地将现象学和存在主义哲学与地理学的基本概念、核心问题融为一体，并以广博的东西方文化案例成功地诠释了书的主题，从而为人本主义地理学建立起基本的理论框架、概念和方法论。,,,
0,9.78754E+12,,,零售的哲学,36,江苏文艺出版社,铃木敏文（著）读客文化,Nov-14,,,,全球便利店连锁公司创始人,,,
2,9.78751E+12,,,另一种设计：长冈贤明的工作,78,新星出版社,[日]长冈贤明 著; 王勇萍 译;,Oct-18,,,,"""我希望能找到'不新做'的'另一种设计'，它不为流行而诞生，也无须成为众人的焦点，只要能慢慢地传播开来就好。""--长冈贤明 一位""不做设计的设计师"" 一家开在偏远地区、不为刺激消费而陈列的杂货店 一系列""死而复生""的产品 共同诉说的""另一种设计"" 开发旅游线路、建博物馆、办杂志、录唱片、拍电影 用设计改造社会！ 风靡日本的二手商店D DEPARTMENT 创始人长冈贤明工作手记 安藤雅信�原研哉�中野裕之倾情推荐 风靡日本的二手商店D DEPARTMENT创始人长冈贤明工作手记",,,
1,9.78754E+12,,,长冈贤明的思考,78,湖南美术出版社,长冈贤明,Jul-18,,,,◎ 日本 Long-life Design （长效设计）教父长冈贤明的灵感锦集 曾任职于日本设计中心原设计研究所、与广为人知的设计师原研哉共事的长冈贤明，作为设计师一度活跃在日本设计的舞台上。由他提出的 长效设计 也随后在社会掀起热评。 长效设计是什么？新的东西问世之后会逐渐遭遇淘汰。正因为身处这样一个重视虚荣外表的时代，我们才更需要设计出能够长久、持续使用之物。长冈打破常规思维，不创造新产品，而以 旧物重生 为入口，发掘已经存在的美好设计并加以改造，使之得以长效使用，由此开启消费者重新审视生活的通道。 而长效设计这一概念*初的来源与灵感，以及长冈贤明本人对此的解读，都以日记的形式集合在本书中。 ◎ D DEPARTMENT 的原点及其背后的思考 当你打磨一把锈迹斑斑的椅子，究竟是 将它打造成一把全新的椅子 ，还是 把,,,
2,9.78731E+12,,书架1 抽屉1,留声机 电影 打字机,48,复旦大学出版社,弗里德里希・基特勒；周宪；邢春丽,Sep-17,,,,,,,
1,9.7873E+12,,,流水别墅传,75,清华大学出版社,托克（著）林鹤（译）,Jan-09,,,,　　《流水别墅传》这部传记讲的不是哪个人，而是20世纪著名的别墅。自从1937年弗兰克?劳埃德?赖特在美国宾夕法尼亚的瀑布上高高建起这座别墅以来，学界和公众对它的赞誉经久不衰，可它的来龙去脉却始终是云山雾罩的，没人说清过。,,,
1,9.78752E+12,,,六论自发性,58,社会科学文献出版社,詹姆斯·C.斯科特（著）袁子奇（译）,Mar-19,,,,著名的当代思想家、耶鲁大学教授詹姆斯·斯科特曾告诉我们国家的视角为什么是错的。现在，在这本简短易懂、极其个人化的新作中，他论证了无政府主义者的视角为什么重要。他用引人入胜、斗志昂扬，甚至幽默的方式，捍卫重视地方性知识、常识、个体创造力、自发性的无政府主义思维，令我们能够审视世间百态……小到学校、工厂、养老院、游乐场里的日常社会政治互动，大到民众抗议和革命。,,,
1,9.78751E+12,,,鲁迅的都市漫游,58,新星出版社,藤井省三（著）潘世圣（译）,May-20,,,,　　这是一本以遍历东亚都市的经历及视角重新追溯鲁迅一生的评传。本书致力描绘作为一个喜爱好莱坞电影的近代都市生活者的鲁迅，探讨其作品如何成为东亚共同的现代古典，并为东亚读者所接受。,,,
10,9.78711E+12,,,路上观察学入门,59.55,生活读书新知三联书店,不详,Jan-20,,,,赤濑川原平、藤森照信、南伸坊均是此一领域赫赫有名的人物，他们合编的这本书可以说是路上观察学的经典之作，也让日本掀起一股“路上观察”的风潮。以路上观察家的眼光来看，乏味的城市也能变成一个宏大的艺术馆，两点一线的日常生活也能像一场场探险。记录者必须随时保持对世界的好奇心，记录的同时也要深入思考如何用自己的方式来描述这个世界。如赤濑川所说：“如果外星人登陆地球的话，做的大概也就是这些事吧！”,,,
1,9.78711E+12,,,路易斯康的空间构成,20,中国建筑工业出版社,原口秀昭（著）吕飞（译）,Nov-07,,,,　　《路易斯·I·康的空间构成》将路易斯·I·康的作品从空间构成的视点加以分析，形成容易理解的视觉表现；然后，将弗兰克·劳埃德·赖特、密斯·凡·德·罗、勒·柯布西耶、阿尔瓦·阿尔托等20世纪的巨匠们的空间构成与路易斯·I·康空间构成作比较，在明确双方作品各自本质的同时，对整个20世纪作一历史性的透视。通过对比众多的建筑作品，尝试让每个作品都浮现出它自身的特性。最后，对路易斯·I·康的空间构成的轨迹、变迁进行总结，并列表从整体、部分、结构特点对其84个作品作了精要的分析比较。,,,
7,9.78753E+12,,书架3 抽屉4,论摄影,38,上海译文出版社,[美]苏珊・桑塔格,May-10,,,,《论摄影》初版于1977年，是苏珊 桑塔格*重要、*著名的论文集之一，主要包括《在柏拉图的洞穴里》、《透过照片看美国，昏暗地》、《忧伤的物件》、《视域的英雄主义》、《摄影信条》、《影像世界》等论文和随笔，至今仍被誉为 摄影界的《圣经》 。现增配照片60多幅，推出插图精装本。,,,
1,9.78751E+12,,,罗西想当发明家,39.8,新星出版社,安德里亚·贝蒂（著）大卫·罗伯茨（著）,Jul-16,,,,那些被别人当成垃圾丢弃的东西，在罗西看来都是宝贝。每到晚上，她就在阁楼上捣鼓自己喜爱的小发明。她做出了氦气裤、热狗机，还专门为叔叔发明了一顶奶酪帽。可收到礼物的叔叔却不以为然，这让害羞的罗西没了自信，更把梦想藏在了心底。,,,
5,9.78721E+12,,书架2 抽屉3,裸城：原真性城市场所的生与死,48,上海人民出版社,莎伦·佐金（著）刘蔚（译）,Aug-15,,,,　　纽约的原真性在哪里？或许在全球客眼中那些迷人的食坊酒肆、艺术画廊、旧建筑，本身就是纽约城市发展的不断变化的代表。一个地方的魅力不在于一切从未改变，而是在时代的进化中，如何让这种原真性得以保存。,,,
1,9.78756E+12,,,旅鼠：中村好文的欢快生活,49.55,江苏文艺出版社,中村好文,Jun-20,,,,《旅鼠：中村好文的欢快生活》一书集中展现了中村好文各处披星戴月的奔波日常，以及他对生活饱有热情、新鲜感的乐天派姿态。42篇优美风趣的散文，配以42幅生动精巧的插图，道尽中村在生活、旅途中的所见所思。得到新道具时的愉悦，略带玩笑之意的礼物，旅行中的偶然相遇……他以那敏锐的感知力、细腻的笔触，写下逗趣而丰盈、简单而美好的生活大小事。这也是一本充满着各种各样美妙插曲的旅行笔记，带我们认识“另一个中村好文”——轻松幽默的旅行家、生活家。,,,
1,9.78754E+12,,,马可瓦尔多,42,译林出版社,伊塔洛·卡尔维诺（著）马小漠（译）,Jan-20,,,,马可瓦尔多是位城市小工。他有一双敏锐善感的眼睛，时刻捕捉着四季的变化和都市的隐秘。春天花坛里冒出来的蘑菇，秋天城市上空的候鸟，都能让他那灰色贫乏的世界变得多彩肥沃。对他来说，“生命中除了以小时计酬的薪水、额外的工资补助和家庭津贴外，还有某些东西可以期待。”,,,
1,9.78722E+12,,,冒险图鉴,70,四川人民出版社,里内蓝（著）张杰雄（译）,Oct-19,,,,这是一本野外游玩、远足、山林探险的必备指南。书中详尽介绍了外出前需要做的准备，途中可能遇到的问题，一定要掌握的户外知识，意外出现的应对方法，野外常见的动植物等，此外还有一些让探险变得更有趣的建议。实用可行的内容，轻松简单的语言，清新可爱的原创插图，有了它，山林海滨任你随性穿行。带上这本书，一起走出家门，开启一段趣味十足的野外冒险吧！,,,
1,9.78753E+12,,,玫瑰的名字,89,上海译文出版社,翁贝托·埃科,May-20,,,, 《玫瑰的名字》是翁贝托•埃科的代表作，被誉为“密码型推理小说”的始祖，在推理文学大国日本甚至被选为“这本推理小说了不起”大奖创设20年以来总评榜*名。在出版三十年后，作者针对读者关于拉丁语引文、知识背景过于广博等反馈意见，做了些许修订和删改。为了丰富阅读体验，全新修订版亦将收入《玫瑰的名字注》一文。                                 《玫瑰的名字》发生在中世纪的一座修道院，修士威廉与弟子阿德索来到修道院，为皇帝与教皇的调解做准备。二人刚一到达，修道院就发生了命案。精于推理的威廉受院长委托着手调查，但命案并没有停止，每天都有一个人死于非命。修道院里那座迷宫一样的藏书馆蕴含着诸多秘密。当秘密被揭穿之际，命案也真相大白。*后，修道院在大火中付之一炬。,,,
1,9.78731E+12,,,媒介考古学：方法、路径和意涵,334.74,复旦大学出版社,唐海江,Jan-18,,,,媒体考古学是近年来在欧美主要国家媒介研究领域出现的一种新的学术旨趣和方法论。它旨在以知识考古的方式揭示媒介历史中的连续和断裂，为理解历史和人类未来提供一种新的视野。全书15章，除去导论及外，首次收集在美国出版的媒体考古学著作，反映了欧美有关欧美媒体考古学的新成果和前沿进展，是这一领域的集大成之作。,,,
2,9.78755E+12,,,媒介生态学,98.4,上海社会科学院出版社,马修·福勒,Sep-19,,,,本书一方面分析了电台、电话、摄像机、监控、计算机媒体以及网络的确定形态。另一方面，精确地说，则是解读“标准物件文化”——一种基于对被抽象和铺层、可无限客体化媒体物件的重组式生产进行全面吸纳的文化。,,,
2,9.78752E+12,,,辉煌信标：美国灯塔史,98,社会科学文献出版社,埃里克·杰·多林（著）冯璇（译）,Jun-20,,,,灯塔作为海岸线哨兵曾矗立在美国历史的前景中，如今成了海岸风景不可或缺的一部分，且在人们的记忆中留下了带有浪漫主义色彩的烙印。埃里克·杰·多林透过灯塔的棱镜，从美国的*座灯塔波士顿灯塔讲起，为我们呈现了一段精彩纷呈的美国历史。他以美国的逐渐壮大为背景，追溯了灯塔体系创建之初的日子，突出介绍了人们为照亮这个国家贫瘠的海岸线而进行的政治、经济、军事和科技斗争，*终展现的是人与自然的博弈和*终和解。,,,
1,9.78755E+12,,,梦幻之城,34,上海书店出版社,汉涅根（著）包亚明（译）张恰（译）,Aug-11,,,, 《梦幻之城》由约翰·汉涅根编著，是“都市与文化译丛”系列之一。后现代都市如何展现其梦幻？梦幻之城是应对城区衰败打造繁荣都市的灵丹妙药？还是城市自身迅速转型为高度写实主义消费品的危险信号？为什么城市先前的码头、工厂和仓库消失了，而被卡西诺赌场、巨型多厅的电影院和主题餐厅所替代？从1895—1925年美国城市娱乐发展的“黄金年代”，到近年遍布亚太地区的主题娱乐产业，《梦幻之城》全面分析了都市发展这种新形势如何萌芽、生长以及对城市未来的影响。,,,
1,9.78711E+12,,,民间与庙堂,45,生活.读书.新知三联书店,许纪霖,Jan-18,,,,,,,
2,9.78711E+12,,,明清建筑二论：斗拱的起源与发展,32,生活.读书.新知三联书店,汉宝德 著,May-14,,,,"""三联书店 汉宝德作品系列 ，是大陆首次系统出版汉宝德作品，从其四十多种著作中精选十二种，分为三类：**类三本为学术性著作；第二类六本是建筑文化普及读物；*后三本，除一本自传外，另辑文物与美育这两大兴趣所投注的文集。 这三类著作可以说明我一生努力的三个阶段。开始时是自学术的研究中掌握建筑与文化的关系；第二步是希望打破建筑专业的象牙塔，使建筑家为大众服务；第三步是希望提高一般民众的美感素养，使建筑专业者的价值观与社会大众的文化品味相契合。",,,
1,9.78711E+12,,,建筑母语：传统、地域与乡愁,35,生活.读书.新知三联书店,汉宝德 著,May-14,,,,"""三联书店 汉宝德作品系列 ，是大陆首次系统出版汉宝德作品，从其四十多种著作中精选十二种，分为三类：**类三本为学术性著作；第二类六本是建筑文化普及读物；*后三本，除一本自传外，另辑文物与美育这两大兴趣所投注的文集。 这三类著作可以说明我一生努力的三个阶段。开始时是自学术的研究中掌握建筑与文化的关系；第二步是希望打破建筑专业的象牙塔，使建筑家为大众服务；第三步是希望提高一般民众的美感素养，使建筑专业者的价值观与社会大众的文化品味相契合。 """,,,
3,9.7871E+12,,,明日的田园城市,16,商务印书馆,霍华德（著）金经元（译）,Oct-10,,,,《明日的田园城市》主要内容包括：城市－乡村磁铁、田园城市的收入及其来源——农业用地、田园城市的收入——城市用地、田园城市收入的支出概况、田园城市的支出细目等。,,,
2,9.7873E+12,,,明室：摄影札记,35,中国人民大学出版社,[法]罗兰・巴尔特,Mar-11,,,,,,,
3,9.78754E+12,,,命运交叉的城堡,25,译林出版社,伊塔罗·卡尔维诺（著）张密（译）,Apr-12,,,,   “我的故事，无论过去、现在，还是未来，都包含在这些纸牌的交错摆放之中，只是我无法将它从众多的故事中分辨出来。我以一个不知其为何物的人的眼光观察那些牌，根据一种图像符号学进行解释叙述，当偶然排列的纸牌能够让我找到它们内涵的故事时，我就动手写出这故事。“卡尔维诺如是说。,,,
1,9.78754E+12,,,摩天大楼：始于芝加哥的摩登时代,79.55,北京燕山出版社,丹·克鲁克香克,May-20,,,,作为现代都市必不可少的建筑元素，摩天大楼极大地改变了城市的面貌。世界上座使用玻璃作为外墙主体的摩天大楼，是芝加哥的瑞莱斯大厦，竣工于1895年。它开拓性的建筑结构是20世纪高层建筑的核心元素，也成为很多现代化建筑信奉的宗旨。它是怎么出现的？其建筑过程又经历了怎样的技术和理念革新？克鲁克香克在本书中带领我们回到了那个时代的芝加哥，讲述了瑞莱斯大厦如何为20世纪城市建筑以及建筑工程学主流奠定了基础，还有当时的杰出人物，如路易斯·沙利文、约翰·威尔伯恩·路特和丹尼尔·H.伯纳姆的故事，并且展望了继承瑞莱斯大厦血统的其他建筑，如1902年的纽约熨斗大厦，以及21世纪那些“自视甚高”的摩天大楼建筑，带我们走进一段段或惊人、或诡异的故事。,,,
2,9.78721E+12,,,魔都,42,上海人民出版社,[日]村松梢风，徐静波译,Apr-18,,,,恐怕没有比 魔都 更适合的词汇来概括1920年代的上海了。这里是国际大都市，连接中国与世界的*重要枢纽，拥有中西方文明冲突融合所造就的 魔性 ，堪称近代中国的高度浓缩和真实写照。1924年，日本文人村松梢风*次使用了 魔都 来指称这座城市，描绘了黑白交织的城市面貌，新潮的社会风尚和市民生活，田汉、郭沫若等中国新文学家的风采 将近一百年过去了，具有标识性意义的 魔都 已经悄然成为了上海的代名词，拥有全新和丰富的内涵，但有一点承接了从前：象征着挑战与机遇并存、容纳多种文化的上海，拥有着令人向往的魅力。《魔都》是一部见证也是一个引子，可以启发对 魔都 意象追根溯源的思考，以及对中国、上海近代以来发展变化的感悟。,,,
2,9.78721E+12,,,魔都漫步,30,上海人民出版社,澎湃新闻・澎湃研究所,Jan-19,,,,本书由生活在上海的地方经验有独到感受和见解的一些作家、文艺爱好者、热心读者一起“再生产”，通过实地漫步的形式，追溯地方历史。,,,
4,9.78758E+12,,,末日松茸,79.8,华东师范大学出版社,罗安清（著）张晓佳（译）,Jul-20,,,,日本美食家、资本主义商人、老挝丛林战士、工业林、中国牧羊人、芬兰乡村向导……如何讲述珍稀松茸供应链的故事？,,,
1,9.78751E+12,,,目客：安藤忠雄：建造属于自己的世界,138,中信出版社,Lens/(日)安藤忠雄 著作,Jan-18,,,,,,,
1,9.78755E+12,,,你的建筑有多重：建筑大师诺曼・福斯特,39,广西师范大学出版社,（英）迪耶・萨迪奇,Aug-16,,,,诺曼 福斯特，当今国际上*杰出的建筑大师之一，被誉为 高技派 的代表人物，第21届普利策建筑大奖得主。 伦敦设计博物馆馆长迪耶 萨迪奇与诺曼 福斯特三十年笃交，生动记录了这位建筑大师的成长经历和建筑生涯。,,,
2,9.78754E+12,,,鸟瞰古文明,128,湖南美术出版社,让·克劳德·戈尔万（著）严可婷（译）,Sep-19,,,,当我们阅读历史书籍，闭上眼睛想象古代人的生活时，蕞大的困难和蕞容易出现的错误不是古代人的活动本身，而是他们活动的场所。失去场所的活动很快便脱离了我们想象的控制，背景的缺失让一qie陷入失序，美妙和谐的图景转化成或滑稽或丑陋又失去连贯性的碎片。而古代城市复原图的重要作用便是：让我们回到现场，用想象力带着肉体，亲身体验历史。,,,
3,9.78754E+12,,,纽约：一座超级城市是如何运转的,168,南海出版公司,[美]凯特・阿歇尔 著，新经典 出品,Mar-18,,,,一本解读繁华都市运转奥秘的百科全书，每个对世界心怀好奇的人都值得拥有 李翔知识内参主编、知乎科普类大V、建筑业知名设计师联袂推荐 纽约的每一天都是现代文明的奇迹，这座城市的运转就像一个巨型魔术，本书可以告诉你，这个魔术是怎么实现的！ 图文并茂、极具收藏价值，让我们了解任何一座城市，了解这个世界的运转 《纽约邮报》盛赞：几乎所有人都能在这本书里找到兴趣点。 美国设计师精心打造数百幅插图，全彩四色印刷，豪华精装,,,
2,9.7871E+12,,,纽约变形记,69,商务印书馆,唐克扬（著）,Oct-13,,,,　　《纽约变形记》不是一本旅游手册，也不是为那些学问家们准备的。这本书的读者们应该有某些建筑学的知识，但他们更可贵的则是对历史的好奇心。和卡尔维诺的《看不见的城市》取意相近，本书中的纽约并不尽然是这城市面面俱到的实录，相反，这本书将撷取几个有趣的时空片段，它们是万花筒里打碎了，又顺序连接起来的镜像。,,,
1,9.78711E+12,,,女性主义建筑学理论,CNY58.00,北京:中国建筑工业出版社,滕静茹,2014,,,,《女性主义建筑学理论》是对产生于20世纪六七十年代西方女性主义建筑学发展状况的总结。作者滕静茹将其归纳为女性主义视角下的建筑专业和女性主义视角下的建成环境两大主题，分别包括女建筑师、女性主义建筑设计、女性主义建筑教育、女性与居住建筑、女性与公共建筑和女性与城市安全六个分主题。在对六个分主题分别展开深入探讨后，作者以此分析中国的建筑专业发展和城市空间建设，并尝试提出相应的建议。本书适于建筑师、城乡规划师、景观设计师和性别学者等专业人士，以及对此主题感兴趣的社会大众。,,,
0,9.7871E+12,,,技术与文明,30,商务印书馆,戴维·哈维（著）,Jun-14,,,,　　《叛逆的城市：从城市权利到城市革命》中汇集了他近年有关城市理论（城市阶级冲突、建筑环境的政治经济学和城市社会运动）的学术论文（第一部分）和有关重大城市社会运动理论解释的报纸评论（第二部分）。可以说是戴维应用马克思主义方法探索城市、城市化和城市发展的导论。,,,
1,9.7873E+12,,,袍哥：1940年代川西乡村的暴力与秩序,69,北京大学出版社有限公司,王笛,Nov-18,,,,袍哥是1949年之前活跃于长江中上游的秘密社会组织，其影响力与青帮、洪门不相上下。当其很盛时，川省约有70%成年男子加入，影响力及于各个角落，在川军、湘军中影响巨大，也是清末革命中的重要力量。本书从一桩1939年的杀人案和一本尘封七十多年的报告出发，结合丰富的图文资料，细致入微地考察了袍哥组织及近代基层社会的权力运作，审视了袍哥成员及其家庭在动荡的大时代下个人命运的沉浮，揭开具有神秘色彩的袍哥世界的“日常”面目，呈现出一幅饱满、立体、生动的近代川西社会图景。,,,
5,9.78756E+12,,,平野甲贺100作,138.17,上海人民美术出版社,平野甲贺,Oct-19,,,,　　平野甲贺享有日本平面设计圈的至高地位和无数粉丝。他现年81岁高龄，但仍旧创作不止，《平野甲贺100作》是他50多年书籍装帧大作的精品集合，其中透出平野先生创作的思与想，特别侧重与手绘文字的阐释。,,,
